word,sentiment
"['에피타이저', '생각']",neutral
"['부페', '형식', '음식']",neutral
"['동안', '주말']",happiness
"['음악', '어디', '여행']",happiness
"['친구', '연락', '내가']",happiness
"['일단', '친구', '여행', '계획', '얘기']",happiness
"['요즘', '우울']",sadness
"['사람', '활동']",sadness
"['활기', '영화', '부탁']",sadness
"['유튜버', '제품', '나도', '광고였대잖']",angry
"['사람', '증거', '사진', '광고', '미안', '미안하다', '하다']",angry
"['처음', '자기', '잘못', '미안', '미안하다', '하다', '화가', '사람', '증거', '사과', '진정']",angry
['기분'],angry
"['부재중', '전화', '주변', '물바다']",fear
"['동네', '물바다']",fear
"['오진', '문제']",fear
['휴가'],angry
[],sadness
"['기분', '음악']",sadness
"['영화', '음악']",sadness
"['최종', '발표', '프로젝트', '거지']",happiness
['음악'],happiness
"['프로젝트', '동안', '친구', '이번', '기회', '겠어']",happiness
"['프로젝트', '머리', '어디', '여행']",happiness
"['최종', '발표', '프로젝트']",happiness
['음악'],happiness
"['프로젝트', '머리', '이번', '기회', '여행', '와야']",happiness
"['프로젝트', '머리', '이번', '기회', '여행', '와야']",happiness
"['휴가', '엉망']",angry
"['여름', '바다', '가기', '장마', '진대']",angry
"['일년만', '휴가']",angry
"['휴가', '기간']",angry
"['사과', '진심', '거짓', '화가']",angry
[],fear
"['홍수', '혼자', '고립']",fear
"['홍수', '주위', '바깥']",fear
"['혼자', '고립']",fear
['혼자'],fear
"['내일', '친구', '무엇']",neutral
"['내일', '친구', '무엇']",neutral
"['강남', '강남역', '친구']",neutral
"['강남', '강남역', '맛집이', '집이', '머리', '양식']",neutral
"['애피타이', '타이', '친구']",neutral
"['친구', '추천', '기대']",neutral
"['유튜버', '사과', '영상']",angry
"['영상', '유튜버']",angry
"['유튜버', '영상']",angry
[],neutral
['프로젝트'],happiness
['그동안'],happiness
"['음악도', '친구']",happiness
"['여행', '요즘', '휴가철']",happiness
"['얘기', '이야기']",happiness
"['마음', '무기력']",sadness
"['기분', '전환', '음악도', '음악']",sadness
"['영화', '겠어']",sadness
"['요즘', '거지', '이해']",angry
"['유튜브', '튜브', '사기', '광고']",angry
"['실망', '이것', '가짜', '가짜라니', '라니']",angry
"['화가', '사과', '진정']",angry
['추천'],angry
[],fear
['홍수'],fear
"['일어', '난리', '친구', '전화', '내가']",fear
"['완전', '물바다']",fear
"['바깥', '난리', '차도']",fear
"['휴가', '엉망']",angry
"['가야', '장마', '휴간', '휴간데']",angry
"['친구', '바닷가', '생각']",angry
"['일년만', '휴가', '프로젝트', '계획']",angry
['영화'],angry
"['사람', '평점', '맛집']",neutral
"['우울', '매일']",sadness
"['사람', '활동']",sadness
['영화'],sadness
"['유튜버', '제품', '소개', '그것', '구매', '광고']",angry
"['기분', '기분전환용', '전환', '가가', '필요', '생각', '추천']",angry
"['요즘', '장마', '홍수', '난리', '우리', '근처', '물바다']",fear
"['코로나', '때문', '재택근무', '집안']",sadness
"['산책', '와중', '해피', '그것', '사람']",surprise
"['평소', '인플', '언서', '이벤트', '당첨']",happiness
"['이것', '상품']",happiness
[],surprise
"['처음', '천둥', '소리']",surprise
"['피해', '피해랄', '천둥', '해지', '해지더']",surprise
"['장마철', '습기', '때문', '곰팡이', '곰팡이와의', '와의', '전쟁']",angry
['보험'],happiness
[],fear
"['요즘', '이해']",angry
"['유튜버', '뒷광고', '광고', '때문', '시청자', '사과', '영상']",angry
"['화가', '영상', '자체']",angry
['덕분'],neutral
['프로젝트'],happiness
"['마음', '무엇']",happiness
"['사람', '활동', '코로나', '장기화', '회사', '재택', '재택근무', '근무']",sadness
['노래'],sadness
"['요즘', '사람', '때문']",angry
"['혼자', '고립']",fear
"['부재중', '전화']",fear
"['휴가', '엉망']",angry
"['휴가', '기간', '장마철', '물난리']",angry
"['요즘', '주식', '시작']",sadness
"['요즘', '바이오', '주식']",sadness
"['이상', '소리']",surprise
"['음식물', '쓰레기', '내가', '그곳']",disgust
